	-	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)	TRACI (obsolete)
	-	environmental impact	environmental impact	environmental impact	environmental impact	environmental impact	environmental impact	human health	human health	human health
	activity functional unit	acidification	ecotoxicity	eutrophication	global warming	ozone depletion	photochemical oxidation	carcinogenics	non-carcinogenics	respiratory effects, average
indicator unit	-	moles of .	kg 2,4-D-.	kg N	kg CO2-Eq	kg CFC-11.	kg NOx-Eq	kg benzen.	kg toluen.	kg PM2.5-.
building construction, hostel	unit	130932.39146908562	433631.95389472856	185.44928588780235	501250.3353822435	0.028742953928663394	2056.145938227682	2936.8551399181	14822908.28805897	884.3696556171565
building operation, hostel	guest night	1.4929363552618806	25.13355866287033	0.005334705077165022	6.29948206618065	2.0175015974155324e-07	0.01573074316958786	0.04940088237610253	686.9281295944687	0.009999909549587545
building construction, budget hotel	unit	364845.1078559695	2435367.691411518	565.6893027334781	1370599.4065094735	0.12071393503816388	5623.806402491146	2736.4097079524136	25475462.783411097	2008.4896921067252
market for building, hall	square meter	155.6348390835609	177.33717506894482	0.17485898854543158	357.9151899521853	2.2550755295374668e-05	1.2610062709601342	0.8970224623121653	4498.037092935266	0.47732353043585984
building machine production	unit	5475.855079429124	17621.96474227292	7.665982618374101	28934.266370733974	0.0014444198573968588	64.99023137759441	56.22914553258448	249648.61850145273	41.39841761794359
building construction, hall	square meter	142.94407351301672	155.87095744010043	0.1618354843418263	334.63794427654295	1.916469118675653e-05	1.077442106905531	0.7549844633916191	3360.3639665538676	0.37728360829962493
market for building, hostel	unit	123350.1371335764	383899.4993354763	165.48978792000918	467574.9209816165	0.026961029858502836	1823.4862418009031	2548.0213450187784	12901770.900001734	909.0990834235247
market for building machine	unit	5226.474673727813	17220.0973993226	7.494823000909689	28261.413365023473	0.0015524317956090129	62.02505540454588	54.412478135525326	246939.72057626222	38.25967777730371
building operation, budget hotel	guest night	1.242588091342082	38.57692442110152	0.022025481465420042	6.343004610006132	2.432776932461559e-07	0.015678659144222448	0.06422363034446724	967.2292554957758	0.009675236598018248
building construction, multi-storey	cubic meter	129.3179905638489	1340.668630551196	0.12405503324113297	324.9718296646409	2.558359804894707e-05	1.354265911829367	5.507393892409806	7929.874402900348	0.7098915700993181
building construction, luxury hotel	unit	4748135.37187944	11533421.65323114	5326.3664841461505	22628223.295914453	1.0935804145113353	66719.34084850272	69743.32981540091	220873724.21578246	22118.466922723197
building construction, upmarket hotel	unit	1355741.474789765	3653029.685188601	1676.1362246889535	7347791.967434788	0.3666515612416823	20464.99421590053	22216.42348826485	78502499.45991749	6387.779864889133
propane, burned in building machine	megajoule	0.011853147468605881	0.008317865105668806	2.8121833083448415e-05	0.08634079597438615	1.3704420110662022e-08	0.00017445599820793152	2.9051642257498358e-05	0.1537513616735071	4.71157009980852e-05
